city,lat,lng,max temp,humidity,cloudiness,windspeed,country,date,name,max temp F
bon air,37.5249,-77.5578,283.9,44.0,0.0,2.57,US,1644356411,Bon Air,51.35
new norfolk,-42.7826,147.0587,289.22,72.0,58.0,1.2,AU,1644356411,New Norfolk,60.92600000000009
cherskiy,68.75,161.3,231.69,100.0,84.0,1.96,RU,1644356411,Cherskiy,-42.62799999999996
chokurdakh,70.6333,147.9167,231.01,100.0,97.0,2.54,RU,1644356412,Chokurdakh,-43.851999999999975
leesburg,39.1157,-77.5636,281.88,35.0,0.0,3.58,US,1644356381,Leesburg,47.714000000000034
asau,46.4333,26.4,272.26,89.0,16.0,3.13,RO,1644356412,Asău,30.398000000000025
berlevag,70.8578,29.0864,270.04,74.0,40.0,6.17,NO,1644356412,Berlevåg,26.40200000000008
barcelos,41.5388,-8.6151,286.95,64.0,0.0,2.0,PT,1644356413,Barcelos,56.84000000000002
oda,35.1833,132.5,273.58,84.0,100.0,3.12,JP,1644356413,Ōdachō-ōda,32.774000000000015
krasnoselkup,65.7,82.4667,248.84,91.0,100.0,4.69,RU,1644356414,Krasnosel'kup,-11.757999999999953
sinegorsk,47.1667,142.5,255.34,89.0,99.0,3.13,RU,1644356414,Sinegorsk,-0.05799999999995009
petropavlovsk-kamchatskiy,53.0452,158.6483,264.14,86.0,75.0,2.0,RU,1644356414,Petropavlovsk-Kamchatskiy,15.782000000000018
georgetown,5.4112,100.3354,299.11,92.0,20.0,1.03,MY,1644356370,George Town,78.72800000000007
guryevsk,54.2833,85.9333,246.84,100.0,96.0,1.18,RU,1644356415,Gur'yevsk,-15.357999999999954
qaanaaq,77.484,-69.3632,247.75,92.0,100.0,2.43,GL,1644356415,Qaanaaq,-13.719999999999956
hirara,24.8,125.2833,292.44,76.0,100.0,8.6,JP,1644356416,Hirara,66.72200000000004
oleksandrivka,48.9634,32.2349,272.63,78.0,99.0,4.33,UA,1644356416,Oleksandrivka,31.064000000000032
